Datetime,volatility,text
2017-01-30 12:16:00,0.00034734155892704124,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,....."
2017-01-30 12:20:00,0.0001729453088571146,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!
2017-01-30 12:27:00,0.0002642854438521577,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!
2017-01-30 13:31:00,0.00023174787420827752,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!"
2017-01-30 13:43:00,9.270143979419002e-05,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)
2017-01-30 14:23:00,6.0115499026542436e-05,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?
2017-01-31 00:45:00,0.0001293980770921667,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.
2017-01-31 11:21:00,0.0002754614055437762,Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!
2017-01-31 11:27:00,8.36609615513007e-05,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!
2017-02-01 01:01:00,0.00011428187614176771,Join me live from the @WhiteHouse. https://www.facebook.com/POTUS/videos/1240366106032827/ …
2017-02-01 03:45:00,4.080078793245291e-05,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all."
2017-02-01 12:50:00,0.00012078465785156263,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!"
2017-02-02 03:06:00,9.955037167104707e-05,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!
2017-02-02 03:55:00,8.692746344966862e-05,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!
2017-02-02 11:13:00,0.0001366262550452696,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?
2017-02-02 11:18:00,0.00012111711477390132,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!
2017-02-02 11:25:00,0.00011266382161140845,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!
2017-02-02 11:34:00,0.0001558972177261853,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!
2017-02-02 11:39:00,8.862243371606203e-05,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion
2017-02-02 17:29:00,0.00012874315231330426,"Thank you, @Samsung! We would love to have you! https://www.axios.com/trump-effect-samsung-may-build-u-s-factory-2233101986.html …"
2017-02-03 11:24:00,0.00011177984503251808,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!"
2017-02-03 11:28:00,0.0002068842502051813,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!"
2017-02-03 11:34:00,0.00020308082377663842,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
2017-02-03 11:41:00,0.00017768426628383282,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!"
2017-02-03 11:48:00,0.00014149947689896442,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
2017-02-03 12:51:00,8.293406662557652e-05,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.
2017-02-06 03:36:00,8.236337924123088e-05,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!"
2017-02-06 12:01:00,9.660771665303414e-05,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting."
2017-02-06 12:07:00,0.00015010650287356517,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!"
2017-02-06 16:32:00,4.899075069323004e-05,"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories & sources!"
2017-02-06 23:33:00,6.160659489181424e-05,An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy!pic.twitter.com/kZdHqaNTVR
2017-02-07 02:33:00,4.5124285517458834e-05,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
2017-02-07 02:49:00,1.562658140550887e-05,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!"
2017-02-07 12:11:00,0.00020829541773220077,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!"
2017-02-07 16:25:00,0.00045369110997833524,An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men & women who protect & serve 24/7/365. THANK YOU!!pic.twitter.com/9EMTnH0OrF
2017-02-08 01:04:00,0.00014260392605094886,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!"
2017-02-08 12:03:00,9.950688026137233e-05,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!"
2017-02-08 13:04:00,7.629762611589751e-05,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision......."
2017-02-08 15:23:00,8.332008345706028e-05,Thank you to our great Police Chiefs & Sheriffs for your leadership & service. You have a true friend in the @WhiteHouse. We support you!pic.twitter.com/niwuK5rgXR
2017-02-08 15:51:00,0.0003399487418172054,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!
2017-02-08 15:54:00,0.0002637727366359383,'16 Fake News Stories Reporters Have Run Since Trump Won'http://thefederalist.com/2017/02/06/16-fake-news-stories-reporters-have-run-since-trump-won/ …
2017-02-08 17:41:00,0.0001157316802073579,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!"
2017-02-08 19:22:00,9.477257597387697e-05,"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS! #AmericaFirstpic.twitter.com/76lAiSSQ1l"
2017-02-08 19:39:00,8.157130118472258e-05,'Immigration Ban Is One Of Trump's Most Popular Orders So Far'pic.twitter.com/wAelwuQ4BE
2017-02-08 21:46:00,0.00010852778989756577,"'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10,000 people in 10 countries...http://bit.ly/2k4fvqgEUPoll"
2017-02-08 22:07:00,0.00022399577622430984,'Trump administration seen as more truthful than news media'http://bit.ly/2k4b0imEmersonPoll …
2017-02-09 01:05:00,9.761776004649578e-05,"Congratulations to our new Attorney General, @SenatorSessions!pic.twitter.com/e0buP1K83z"
2017-02-09 11:57:00,0.0002350184559535324,"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?"
2017-02-09 13:19:00,0.00017795458657836192,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!"
2017-02-09 13:26:00,0.00016969404044838782,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....
2017-02-09 13:31:00,0.0003668968312588179,"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero.."
2017-02-09 13:52:00,0.00016676170729885533,"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!"
2017-02-09 15:58:00,0.0004635501519816785,"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions! LIVE: http://bit.ly/2kqq2f0Sessions pic.twitter.com/0PEcB2B4Pf"
2017-02-10 13:15:00,0.00012032528032975389,"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!"
2017-02-10 13:35:00,0.0003379743669643855,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!"
2017-02-13 15:53:00,0.00026613962419609426,Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. http://bigstory.ap.org/article/37dab25b8da74902b3fa4076030febe0/trump-trudeau-discuss-women-workforce …
2017-02-13 16:59:00,0.00025229585697285144,Welcome to the @WhiteHouse Prime Minister @JustinTrudeau!pic.twitter.com/WKgF8Zo9ri
2017-02-13 18:50:00,9.662630568584268e-05,Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's & business women from Canadaand the United Statespic.twitter.com/Rxr31QpxMK
2017-02-14 02:57:00,7.77423529556538e-05,Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://www.facebook.com/DonaldTrump/posts/10158646970740725 …pic.twitter.com/K8tWLlXiYK
2017-02-14 03:30:00,9.670639627182222e-05,Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect our country!pic.twitter.com/Mit3wx3yae
2017-02-14 14:28:00,0.00013511530870635388,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?
